# INFINITAS リザルト画面 (1920x1080) の ROI 定義
# HashExtractor / ColorAnalyzer / RoiCropper でバッチ処理する際の入力。
# 1P サイドはウィジェットが画面左、2P サイドは画面右に表示される。
# y 座標は両サイド共通。
# name,x,y,w,h
#
# CLEAR TYPE 現在値（ランプ色判定用、狭い ROI）
clear_type_1p,430,419,50,17
clear_type_2p,1782,419,49,17
#
# DJ LEVEL 現在値（aHash 照合用、A/AA/AAA/B/C/D/E/F）
dj_level_1p,341,474,144,39
dj_level_2p,1718,474,144,39
#
# 難易度ラベル（リザルト画面下部、BEGINNER/NORMAL/HYPER/ANOTHER/LEGGENDARIA）
# SP/DP 共通 ROI、(715,1040,150,20) で 9 種正解
difficulty_label,715,1040,150,20
#
# OCR 用 ROI（数値抽出）
ex_score_1p,350,555,140,30
ex_score_2p,1720,555,140,30
miss_count_1p,350,635,140,30
miss_count_2p,1720,635,140,30
